Wavenumber,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH63MI39,WD23MI03A,SH01MI12B,CV09EMI05,FI38MI01B,OK14MI07,OK14MI12,AK96MI13,OK14MI01,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,WD35MI02,WD07MI01A,WD70MI01B,OK14MI09,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,JFL30AMI12,VS73MI02
3588.936,0.232475233,0.53945935,2.206492,0.907052467,0.341686067,3.157265667,1.681027333,1.073913,1.014828667,1.973178,0.86527715,0.4658208,1.153696,0.4412433,0.675927667,1.941546667,0.3839401,1.196168333,1.4237275,1.287773333,1.737577,1.170186,1.394308333,1.497552,0.473716567,0.6667759,0.151530133,1.649893,1.657598667,1.2812935
3590.864,0.231925967,0.5379713,2.20841725,0.898908133,0.340395733,3.123551,1.661226,1.0625685,1.0020585,1.959445,0.8571304,0.46293925,1.138016667,0.437018867,0.666913667,1.919741667,0.38104495,1.181065,1.412658,1.271241667,1.714253667,1.1590145,1.381799667,1.48109,0.470835478,0.659603133,0.150909633,1.6299675,1.639876333,1.2798195
3592.793,0.231380233,0.536225475,2.2121825,0.8902744,0.339149533,2.988577,1.640951,1.04992975,0.9872594,1.940477,0.84866915,0.459617,1.120538,0.432382533,0.657190267,1.888007667,0.3780435,1.165375333,1.40341,1.255151,1.689125,1.1476955,1.368838333,1.465404333,0.466798256,0.651822067,0.150293767,1.6087645,1.620126333,1.277704
3594.721,0.2309027,0.5343362,2.22266775,0.881424667,0.3377791,2.963141,1.623052667,1.03735,0.970339067,1.918171,0.8398819,0.4551573,1.101258667,0.427504833,0.646956833,1.854774667,0.3746378,1.148828667,1.3940755,1.238361667,1.662463667,1.1362785,1.355684333,1.451015333,0.464030611,0.643813033,0.149664,1.5868655,1.600240333,1.27538125
3596.65,0.230401867,0.5322031,2.22225625,0.872261767,0.336155933,2.864698333,1.604052667,1.02376975,0.952890733,1.88802,0.82982955,0.44995975,1.080668,0.422394467,0.636474267,1.821916667,0.3708913,1.131695667,1.381849,1.219610667,1.634591333,1.1243235,1.341331667,1.434426,0.460915667,0.6353877,0.148935933,1.564978,1.577607,1.27283325
3598.578,0.229875133,0.529919725,2.22345125,0.8623802,0.334609967,2.997911333,1.583400667,1.0100095,0.934807733,1.8526465,0.81909705,0.4447973,1.062303,0.4169244,0.625476733,1.790421,0.36687395,1.113639,1.3661055,1.199569,1.604851667,1.1112665,1.325421667,1.416457,0.457547122,0.626461033,0.148182567,1.544317,1.554869333,1.27036075
3600.507,0.2292629,0.52780475,2.21666725,0.852091333,0.333173,3.163351,1.562096333,0.99590095,0.915655033,1.822804,0.80891615,0.43993825,1.048602,0.411360567,0.6143656,1.757987667,0.362927,1.095235333,1.3487515,1.178639667,1.575319667,1.098348,1.309328667,1.398882,0.453405556,0.6175217,0.147426733,1.525152,1.531093333,1.26747825
3602.435,0.228392567,0.525759825,2.2077615,0.841387767,0.3314974,3.229793333,1.539783667,0.981226525,0.8958675,1.793576,0.7986159,0.4344241,1.037604,0.405918667,0.603154167,1.729640333,0.3591004,1.076857667,1.32793,1.156330667,1.547115667,1.0842065,1.292783333,1.378658333,0.4489274,0.608745033,0.146524067,1.503555,1.509086667,1.26400975
3604.364,0.227483067,0.5235824,2.191398,0.830169767,0.329751367,3.250493,1.518620667,0.96437205,0.873219933,1.7587525,0.78764085,0.427764,1.026890667,0.400058467,0.591201333,1.695910333,0.35526325,1.057089,1.3068995,1.132809333,1.517928333,1.068818,1.275426333,1.354843333,0.445053344,0.599205233,0.145511067,1.478458,1.485547667,1.25949125
3606.292,0.2265636,0.52122465,2.1839475,0.818894867,0.328173067,3.312666,1.499752,0.947964025,0.8499363,1.731838,0.77607505,0.4208297,1.014256,0.3941476,0.578858767,1.662758333,0.35162235,1.036640667,1.2886495,1.109244667,1.487724333,1.052995,1.257805333,1.331714,0.440996589,0.589659367,0.1444602,1.4509235,1.464645,1.2540865
3608.221,0.225350733,0.51863885,2.16409725,0.807261433,0.326638133,3.343988,1.47824,0.930271725,0.827581267,1.712613,0.7633774,0.41341285,0.997531533,0.388163567,0.5663565,1.631994,0.34778655,1.015854,1.2701965,1.085216333,1.456438667,1.0364625,1.239387,1.309411,0.437895822,0.5798211,0.143370533,1.4196145,1.441972333,1.2470475
